 Mean of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve,is_pulsar
121.15625,-0.013165489,3.168896321,18.3993666,0
76.96875,3.388718563,2.399665552,17.57099693,0
130.5859375,-0.297241641,2.743311037,22.36255299,0
84.8046875,3.274125373,2.790133779,20.61800857,0
109.40625,0.056246664,2.797658863,19.49652729,0
95.0078125,1.153164381,2.77006689,18.21774119,0
130.0859375,-0.034468391,5.050167224,27.99747644,0
96.9375,0.755829381,1.971571906,11.63696371,0
146.6953125,0.554926309,2.885451505,18.04378053,0
102.3671875,0.180464824,1.918896321,14.84679658,0
125.609375,-0.413431636,2.246655518,13.53869213,0
150.09375,-0.59470588,137.1488294,51.22345555,0
104.5625,0.165345961,0.473244147,9.305756832,0
133.125,-0.804890239,31.55351171,65.2362543,0
125.1484375,-0.041770772,3.218227425,17.95311719,0
99.28125,-0.82764003,197.2341137,63.75879799,0
111.7109375,-0.061646003,2.139632107,16.65571305,0
127.328125,-0.206532229,3.955685619,26.25178209,0
101.9140625,-0.291253721,9.372073579,35.10621041,0
108.7421875,0.245138892,17.37959866,51.98174414,0
128.484375,-0.495919613,1.756688963,16.89744287,0
102.234375,0.455562472,4.75083612,28.10226412,0
98.5703125,0.853318645,1.815217391,13.49266378,0
36.7109375,20.29698008,107.2123746,74.62119531,1
108.7578125,-0.011839737,3.428929766,22.80572595,0
117.6796875,-0.13550329,2.731605351,21.99328807,0
43.5,26.33986977,39.58528428,75.5334114,1
121.5546875,-0.71180853,3.219063545,19.52642934,0
84.546875,2.969175667,1.196488294,12.17894811,0
66.8515625,2.232983407,67.02090301,80.61287231,1
135.265625,-0.398289737,2.705685619,14.41809996,0
105.2734375,0.450317547,2.418896321,17.69773933,0
142.96875,0.391281115,7.115384615,32.01745026,0
107.171875,1.514337381,1.316889632,11.16697902,0
126.2734375,-0.176735487,2.432274247,13.37919797,0
89.4453125,3.164132145,1.850334448,15.44632009,0
110.0625,0.949607938,1.611204013,13.43926664,0
98.5234375,0.341512169,1.077759197,12.53415963,0
131.4765625,-0.596634779,2.857859532,18.31021783,0
95.6796875,1.450842937,3.606187291,21.24580451,0
109.3359375,0.266654812,2.219063545,13.92240217,0
112.5390625,-0.126275519,2.31187291,18.8612845,0
114.828125,-0.313794504,5.418060201,29.23693674,0
126.2421875,-0.147103385,1.461538462,11.59551114,0
117.2421875,-0.367926062,1.358695652,12.47851396,0
134.8046875,0.014367744,5.170568562,27.95880875,0
118.9375,0.036605939,0.758361204,9.734999025,0
130.21875,0.29734548,5.718227425,25.78250364,0
103.03125,1.648295446,2.10367893,18.00824653,0
96.3125,1.158834437,2.574414716,15.40724695,0
110.2890625,-0.188130235,1.130434783,12.89265081,0
118.140625,-0.804809152,2.054347826,14.64957073,0
69.2109375,4.435121802,2.345317726,20.20025961,1
120.03125,-0.361874096,3.170568562,18.3006571,0
119.984375,0.128979534,2.359531773,14.67118423,0
126.5546875,0.308553175,4.983277592,28.88093517,1
126.5546875,-0.27756295,16.89632107,51.41645124,0
130.2265625,1.299277285,17.47826087,46.02987647,0
128.2890625,-0.443164315,1.846989967,13.24117044,0
139.140625,0.098468574,4.258361204,21.3254987,0
128.984375,-0.429864195,1.199832776,14.82453787,1
95.0078125,1.802161665,2.950668896,20.50018536,0
95.2890625,0.50311606,4.890468227,23.73887085,0
79.0703125,3.885098004,34.2173913,64.41764776,1
131.7734375,0.272260622,4.265050167,24.59982358,0
131.9609375,0.406702378,2.555183946,17.63987004,0
110.7890625,0.017427097,1.158862876,10.66178968,0
118.8046875,0.117742368,2.276755853,14.45704611,0
112.5859375,1.379678654,14.41220736,53.97941654,0
132.6640625,-0.682348594,3.18729097,16.53126274,0
103.0078125,-0.010529437,0.960702341,10.06239535,0
117.2890625,0.533665705,1.909698997,15.9215848,0
147.7109375,-0.493051215,2.158862876,20.61422651,0
115.4609375,-0.478993736,1.5,13.98837908,0
116.234375,0.091198089,1.641304348,11.30998019,0
101.6328125,1.086732511,0.775919732,10.15580738,0
93.2734375,3.108239721,2.045150502,15.17086524,0
133.2734375,-0.123905232,2.740802676,15.08292709,0
139.890625,1.335937209,1.448996656,13.93270643,0
122.4296875,0.013024589,15.73996656,45.046614,0
139.78125,-1.169241732,2.683946488,21.10137444,0
124.8671875,-0.160817322,2.652173913,20.42854633,0
121.7265625,0.469878693,1.376254181,12.78948034,0
96.8984375,0.529467661,1.039297659,13.65084047,0
109.6796875,-0.00894943,4.339464883,24.2772823,0
97.4140625,0.823766476,1.989966555,17.79918358,0
128.890625,-0.147498257,1.372073579,10.58337764,0
107.625,1.73132566,2.173913043,14.6358195,0
76.5703125,2.174818818,1.868729097,18.19906624,0
140.4296875,0.499820383,0.543478261,10.08130572,0
101.2890625,1.695142493,2.071070234,16.33647454,0
138.8046875,0.144511739,4.719063545,26.45643237,0
121.8671875,-0.08782148,8.392976589,35.66212334,0
86.5625,4.018279676,2.364548495,16.36894484,0
60.296875,4.677566913,99.69816054,79.81386182,1
120.7265625,1.223632929,3.061036789,17.80342646,0
109.4453125,0.324588769,1.595317726,11.59828344,0
119.8046875,0.820881228,3.011705686,24.44781207,0
123.7109375,-0.274334322,4.110367893,24.02032708,0
121.1015625,-0.33796855,1.35451505,10.4356479,0
123.828125,-0.067658364,1.367056856,14.85064614,0
108.9140625,-0.212734338,3.14548495,16.51771841,0
128.6328125,0.175957503,1.994983278,15.98672029,0
61.671875,8.709980861,5.593645485,29.62396029,1
128.2578125,0.485866888,23.81688963,62.88881,0
142.2890625,-0.096114076,15.65133779,49.30315077,0
141.1953125,0.392180358,2.548494983,16.65055432,0
110.0234375,0.603376608,0.718227425,9.763681022,0
133.0703125,-0.405669597,19.85033445,54.98739754,0
100.9765625,0.515795646,6.659698997,32.01672454,0
130.3046875,-0.565564884,2.726588629,19.95319763,0
115.0859375,-0.15021642,1.845317726,17.26476838,0
127.8046875,-0.360250434,1.923076923,12.25580618,0
114.5859375,-0.705472728,3.777591973,26.55616311,1
108.90625,0.279033174,103.0936455,93.2691448,0
114.5546875,-0.261158229,2.672240803,17.73795504,0
127.921875,-0.698161438,1.986622074,16.58372358,0
144.0859375,-0.180708288,2.679765886,16.47396726,0
114.1640625,-0.312988521,1.214882943,12.03297362,0
115.890625,0.130624868,1.903846154,12.74216732,0
130.78125,-0.114471999,1.898829431,12.27727182,0
125.3671875,-0.119016489,2.556856187,14.59168722,0
131.40625,-0.366704922,175.5785953,88.16542302,0
109.203125,0.055751965,2.070234114,14.8237725,0
9.7421875,50.95424904,84.11705686,59.36708836,1
102.875,1.188921894,4.350334448,25.98453055,0
95.8828125,0.730957013,1.739130435,12.56782963,0
130.1015625,0.011775402,2.397993311,14.62675411,0
135.078125,0.061427247,2.080267559,13.33960502,0
133.4765625,-0.102144782,3.754180602,24.89724248,0
122.7265625,0.002608603,10.40217391,39.75924152,0
84.3359375,1.982141691,11.53344482,43.87085469,1
97.8125,1.814031082,3.320234114,21.14427962,0
115.078125,-0.465533862,2.299331104,20.36044019,0
114.203125,-0.141872468,2.486622074,15.34025422,0
119.546875,1.049137968,4.216555184,25.95131331,0
124.2109375,0.144351009,2.248327759,13.78669463,0
95.9296875,-0.321400647,27.05769231,69.24734531,0
66.4921875,10.99489305,7.834448161,33.66162057,1
85.796875,1.452630674,1.621237458,13.5821365,0
136.4453125,-0.588693512,1.852842809,17.81416755,0
150.25,-0.309404146,2.37541806,19.15764641,0
143.7109375,0.190579156,1.191471572,9.935542807,0
122.8125,0.782359685,3.902173913,21.11149638,0
122.3359375,-0.288818016,119.0326087,85.95590633,0
36.46875,14.9146447,111.1229097,75.71649359,1
111.2109375,0.126347724,0.887123746,10.24490091,0
133.0859375,-0.295598653,4.035117057,26.52150205,0
137.75,-0.122476171,111.027592,77.89253858,0
83.8125,1.617375621,1.977424749,14.7608129,0
121.84375,1.231334637,2.086956522,13.37693056,0
102.59375,0.098896545,147.1856187,75.29602001,0
77.984375,2.953030566,1.435618729,11.38685957,0
60.5234375,8.285401673,2.420568562,17.79649579,1
104.015625,0.553664436,102.9214047,66.95716079,0
126.984375,0.38636732,9.857023411,37.1910973,0
138.34375,-0.286798828,3.259197324,18.64506644,0
98.46875,0.886810107,1.683946488,13.0465635,0
138.3359375,-0.226105863,49.89464883,80.5624912,0
130.6328125,-0.787813653,142.1856187,82.33954089,0
115.78125,-0.072645839,2.268394649,16.47626359,0
114.484375,0.149187376,1.198160535,15.08958854,0
132.09375,0.212466386,2.244147157,15.66109267,0
133.1328125,0.059228296,3.99916388,24.23934789,0
144.125,-0.234824956,1.669732441,14.22233112,0
93.46875,0.323680061,1.275919732,12.06403436,0
103.5078125,1.442413744,1.553511706,16.92160696,0
120.171875,-0.642442876,1.348662207,12.44074947,0
117.578125,-0.260848326,2.274247492,15.23862718,0
87.671875,1.245056491,2.205685619,14.05886458,0
120.8515625,0.447279133,1.809364548,11.76755556,0
83.0390625,3.460698399,59.11956522,53.954117,0
144.5546875,0.003438096,4.556856187,27.77542425,0
41.7734375,20.28308868,12.72993311,43.22134994,1
123.9453125,-0.289606488,1.698996656,16.74657752,0
139.640625,0.862941112,1.717391304,11.89939988,0
93.734375,0.603970414,0.764214047,10.51951159,0
128.2265625,-0.429125702,4.14548495,25.44823399,0
135.46875,-0.05506863,4.212374582,25.05846103,0
139.8359375,-0.015617372,2.580267559,15.19052067,0
142.0859375,0.061267439,1.734949833,12.86198214,0
55.5078125,4.156706332,7.33277592,33.81505319,1
71.5546875,5.818561928,4.835284281,26.45508832,1
115.5,-0.443382402,3.847826087,20.53910343,0
118.765625,0.55925885,5.732441472,30.62971186,0
133.5234375,-0.087891458,1.557692308,15.66094078,0
110.796875,-0.493729967,1.448160535,14.67769068,0
116.5390625,-0.433520599,2.12541806,16.87023034,0
33.328125,12.32436172,101.5953177,83.3898455,1
103.0078125,0.696161157,2.054347826,13.7114759,0
122.6328125,-0.02528834,3.507525084,22.67597354,0
114.921875,-0.610939454,2.058528428,14.66760767,0
147.25,-0.362322805,1.621237458,15.23888434,0
151.9296875,-0.571877226,75.02591973,73.55274878,0
139.6640625,0.123057192,2.280936455,16.45083903,0
29.953125,17.81368022,141.4607023,62.66037052,1
128.2265625,-0.476816314,1.727424749,13.04722386,0
125.0703125,-0.322090337,2.011705686,18.28481094,0
148.25,0.052532439,2.961538462,15.87193287,0
126.46875,-0.103949405,2.674749164,21.91932757,0
139.1953125,-0.034691034,16.0367893,49.93211429,0
112.5859375,1.566673172,1.377926421,10.69613663,0
174.25,1.237030944,25.93645485,57.4399437,0
133.859375,-0.377985873,1.898829431,18.13136656,0
18.8515625,27.66574162,63.01755853,65.77357171,1
82.7890625,1.871258295,1.757525084,13.74510196,0
144.7890625,-0.29886941,3.0409699,17.59553456,0
127.78125,0.299721713,3.781772575,22.06220384,0
133.359375,0.39648982,2.530936455,15.3560272,0
143.828125,-0.549918126,3.712374582,22.18523901,0
133.2734375,-0.730157945,2.988294314,17.9222549,0
126.0625,0.162166454,2.9590301,15.19953662,0
35.15625,24.4866906,34.10117057,62.57739528,1
128.921875,0.095442447,1.530936455,15.4963545,0
86.234375,5.535417171,15.17976589,50.88779011,1
93.5546875,0.988715347,1.139632107,12.1412975,0
26.578125,31.52984285,134.798495,72.05558309,1
127.359375,-0.40646326,3.834448161,20.81012305,0
127.109375,-0.580528832,2.460702341,15.89164694,0
124.28125,-0.014235108,0.734113712,9.488659318,0
118.8671875,-0.213549688,2.235785953,16.06517631,0
45.5390625,26.25011305,32.57274247,54.81280603,1
129.3125,-0.544251364,2.85451505,17.72001414,0
134.1328125,-0.009397683,4.820234114,23.90775105,0
88.25,1.47049275,4.650501672,25.66972355,0
125.0859375,1.011300611,0.908026756,13.41285146,0
119.1875,-0.273948949,6.975752508,31.30468856,0
87.0625,1.129064733,2.377926421,15.84564913,0
123.53125,-0.071600995,0.781772575,10.57083301,0
110.1796875,-0.024075919,2.556856187,18.18065084,0
129.7734375,-0.323532742,11.57943144,42.4971714,0
113.96875,0.235490587,20.33361204,52.24981708,0
126.625,0.510049159,1.897157191,17.89752394,0
121.203125,0.240895345,4.461538462,23.39981189,0
101.0625,0.050890203,4.93729097,28.96576079,0
107.5546875,0.799653036,1.981605351,14.32919218,0
89.921875,0.295845191,6.964882943,30.95304089,0
112.140625,-0.116391428,0.697324415,11.48935931,0
53.53125,15.66956787,37.44147157,68.44858006,1
122.578125,-0.422357514,1.391304348,13.48543341,0
115.09375,0.847138712,1.454849498,13.26872255,0
100.7578125,0.484877898,1.487458194,15.65116203,0
128.8828125,-0.572277978,7.602006689,32.15156096,0
90.984375,4.112162062,34.18478261,64.52126353,0
136.1640625,0.172375793,3.214882943,16.25393637,0
133.28125,-0.027823566,5.102842809,27.19310898,0
57.9921875,9.774398141,30.82274247,64.77966529,0
110.1015625,0.343425168,1.065217391,12.33428323,0
121.4765625,0.18534396,12.0819398,38.73779849,0
114.40625,0.114669323,2.091973244,13.2924364,0
112.4296875,1.689669757,2.470735786,18.13536005,1
16.5546875,15.06497082,112.583612,58.80159542,1
120.4765625,-0.056021639,3.41722408,19.49725144,0
17.03125,53.1934326,132.9749164,81.56521309,1
134.3984375,-0.646057788,168.7366221,80.0180061,0
109.21875,0.417320413,1.222408027,11.64708324,0
130.765625,0.403622871,3.609531773,20.79435565,0
137.21875,0.134409084,3.204013378,17.17785726,0
126.8515625,-0.464809459,3.403846154,20.96752431,0
129.6171875,-0.002689519,5.132943144,28.53525458,0
60.1484375,4.475835277,7.959866221,36.35170628,1
104.75,0.289506104,0.968227425,11.03910625,0
122.9453125,0.713727572,3.399665552,24.310852,0
81.4921875,0.812341004,2.401337793,15.91231612,0
117.1484375,-0.000657034,3.638795987,20.31902662,0
110.5703125,0.863544494,3.055183946,17.27933882,0
146.9921875,-0.196808404,115.0894649,75.93002757,0
117.3515625,-0.437704335,4.483277592,25.24354061,0
144.3671875,-0.064177109,83.68729097,85.06135424,0
143.2109375,0.452241526,1.986622074,16.74313582,0
80.953125,1.980699648,0.647993311,10.41845245,0
34.8984375,24.95582131,103.4423077,76.23984673,1
150.296875,-0.568722134,11.09949833,43.81296863,0
133.890625,1.179817903,3.612876254,25.63683468,0
106.7421875,0.491630578,2.612876254,14.30794157,0
100.890625,1.463629724,1.585284281,12.01289375,0
98.4375,0.155035971,2.56270903,14.92389548,0
137.9453125,-0.676629129,4.801839465,26.18939949,0
135.234375,-0.459679198,1.412207358,11.66949335,0
115.2265625,0.188177509,2.290133779,14.29404311,0
136.875,0.301780579,0.904682274,9.813866963,0
98.3203125,0.77419789,2.256688963,14.93889999,0
108.453125,0.236921215,2.064381271,18.55120462,0
126.578125,0.480638225,1.566053512,11.09414643,0
119.6953125,-0.280131031,2.826086957,20.0766888,0
137.7109375,0.032717944,7.623745819,36.07858718,0
132.671875,-0.456403982,3.301839465,16.83567134,0
103.765625,0.60943687,3.071070234,22.7326868,0
94.875,0.43763797,9.18645485,35.96574249,0
121.65625,-0.308356422,1.252508361,15.11134102,0
112.640625,1.122110293,2.530100334,15.14528074,0
114.3125,-0.441776201,1.022575251,11.82270046,0
120.78125,0.432321302,2.819397993,15.34603622,0
96.9140625,2.389576242,1.100334448,10.49366587,0
42.375,17.82768407,35.49080268,63.737881,1
23.625,35.98717152,146.5685619,82.39462399,1
113.6015625,0.09077784,4.288461538,27.0971478,0
96.8359375,0.420905327,2.515886288,17.87738566,0
109.6640625,0.091864414,2.299331104,17.69792137,0
111.9375,0.509705808,2.601170569,16.02419675,0
109.78125,0.242666163,1.554347826,11.24192268,0
118.8515625,0.408057349,1.81187291,15.28121761,0
101.0234375,-0.108196744,1.803511706,12.25989551,0
107.0703125,0.430070789,3.990802676,25.75646327,0
131.9453125,-0.28680517,2.846153846,17.44560807,0
127.09375,-0.544765641,2.206521739,14.11040998,0
50.9296875,17.38148313,33.86036789,57.92865293,1
92.328125,0.080998528,1.752508361,13.06949339,0
100.4765625,0.633111585,3.611204013,23.46765742,0
130.2734375,-0.057025028,3.198996656,21.64510493,0
111.59375,0.202988083,3.20819398,19.79339692,0
